Gene_acc,Gene_id,Signed_Rank_DM_vs_Plus,FDR_DM_vs_Plus,Signed_Rank_Plus_vs_Minus,FDR_Plus_vs_Minus,Desc
52,Tb11.v5.0553,-0.02470134527660475,0.45266000000000006,0.014293739162100772,0.69448,"ubiquitin hydrolase, putative"
53,Tb11.v5.0567,-0.5161843454873721,0.00122,0.03006933807842566,0.65172,"retrotransposon hot spot (RHS) protein, putative"
54,Tb11.v5.0594,-0.24536108182740077,0.027260000000000003,-0.03260525401389617,0.98665,"retrotransposon hot spot (RHS) protein, putative"
55,Tb11.v5.0618,0.13420205174085612,0.5571,0.21631902153446403,0.01905,"hypothetical protein, conserved"
56,Tb11.v5.0624,-0.1430616760949234,0.07046000000000001,0.06208372528043493,0.31927,"retrotransposon hot spot protein (PHS), putative"
57,Tb11.v5.0627,0.09688474890117538,0.68018,-0.14503935461126355,0.22703,"lipase domain protein, putative"
58,Tb11.v5.0636,-0.022352802823162713,0.45064,-0.1269071687359726,0.31079,"C-terminal motor kinesin, putative"
59,Tb11.v5.0652,0.051895802731697464,0.8398899999999999,-0.06039734213000804,0.7858,"protein kinase, putative"
60,Tb11.v5.0670,-0.01692611272510907,0.484,-0.0068732321814074454,0.78638,"retrotransposon hot spot (RHS) protein, putative"
61,Tb11.v5.0692,-0.061496377283556225,0.26279,-0.08367259199616604,0.54515,"Thiopurine S-methyltransferase (TPMT), putative"
62,Tb11.v5.0713,-0.004498573846082556,0.54413,-0.022539799793367635,0.87665,"Retrotransposon hot spot protein 6 (RHS6), putative"
63,Tb11.v5.0735,-0.004961656361192738,0.54418,0.06405189047923183,0.44466000000000006,"hypothetical protein, conserved"
64,Tb11.v5.0736,0.011005991387656778,0.64355,-0.07456682387469751,0.5992,"ABC1 family, putative"
65,Tb11.v5.0745,0.07409754567770635,0.8234799999999999,0.04502862564133733,0.47306000000000004,"hypothetical protein, conserved"
66,Tb11.v5.0746,0.10985624605036731,0.60209,-0.10167696457732825,0.44161999999999996,"tatD related deoxyribonuclease, putative"
67,Tb11.v5.0760,0.07266547211266551,0.9456399999999999,-0.20319442989183595,0.09312000000000001,"RNA polymerase III transcription factor (TF)IIIC subunit, putative"
68,Tb11.v5.0765,-0.06358128699058777,0.35974,-0.011445463434105895,0.98662,"N-acetylglucosaminyl-phosphatidylinositol biosynthetic protein, putative"
69,Tb11.v5.0807,0.08289362139747028,0.76171,-0.10611726101169013,0.41944,"ribonuclease, putative"
70,Tb11.v5.0839,1.5411978717311465,0.0,0.01382701912573483,0.81376,"retrotransposon hot spot (RHS) protein, putative"
71,Tb11.v5.0842,-0.01307817625957315,0.48617,0.05157561540989792,0.38245999999999997,"Vesicle coat protein involved in Golgi to plasma membrane transport, putative"
72,Tb11.v5.0853,0.028821068846974746,0.74366,-0.05572273690165369,0.72948,"Vacuolar sorting protein 9 (VPS9) domain containing protein, putative"
73,Tb11.v5.0868,0.09576445007348855,0.69631,0.1700665425553255,0.19927999999999998,"mitotubule-associated protein Gb4, putative"
74,Tb11.v5.0885,-0.02652274508715496,0.47868,-0.0020717399929764324,0.82944,"amino acid transporter, putative"
75,Tb11.v5.0892,0.14930902130209758,0.41296000000000005,0.00833559269665428,0.7075,"hypothetical protein, conserved"
76,Tb11.v5.0905,0.06881153941099558,0.8193799999999999,-0.10828751816334073,0.40514,"hypothetical protein, conserved"
77,Tb11.v5.0965,0.05178832378696669,0.84785,-0.019616305730435175,0.8656799999999999,"ATP-dependent DEAH-box RNA helicase, putative"
78,Tb11.v5.1016,-0.5602920931537523,0.00081,-0.4523081448825494,0.00091,"receptor-type adenylate cyclase GRESAG 4 (pseudogene), putative"
79,Tb11.v5.1020,-0.2562999745779485,0.01326,0.05878927235291782,0.36368,"retrotransposon hot spot (RHS) protein, putative"
80,Tb11.v5.1052,1.2068177861471916,0.0,-0.1421630289518202,0.26787,"nucleobase/nucleoside transporter 8.1, putative"
81,Tb927.1.1000,0.13037959960974183,0.5203800000000001,-0.043969307047433834,0.8345899999999999,developmentally regulated phosphoprotein
82,Tb927.1.1020,0.018762185781271944,0.69188,-0.08192883335985926,0.58402,leucine-rich repeat-containing protein
83,Tb927.1.1030,-0.07961726649794064,0.20826,-0.026200656731432202,0.89456,Nucleolar protein 49
84,Tb927.1.1050,-0.020972207438419068,0.50026,-0.029355410409319806,0.8776,Metallo-dependent phosphatase-like domain-containing protein
85,Tb927.1.1060,0.07728099224216399,0.8002199999999999,0.04199170846282381,0.50863,"Cell cycle checkpoint protein RAD1-like, putative"
86,Tb927.1.1080,-0.11976091378248226,0.14101,0.16278560765064176,0.06522,"TFIIH basal transcription factor subunit, putative"
87,Tb927.1.1100,0.14109686607339408,0.43277,0.07035101056637011,0.3114,Basal body protein
88,Tb927.1.1120,0.11634192745877339,0.553,-0.0464099062110285,0.8087,"ribosomal RNA-processing protein 8, putative"
89,Tb927.1.1130,0.08860018140346,0.74453,0.08867987975462499,0.22494,"glycerol-3-phosphate dehydrogenase (FAD-dependent), putative"
90,Tb927.1.1140,-0.09708200564216692,0.14010999999999998,-0.19656129259906474,0.09892999999999999,"Transmembrane protein 231, putative"
91,Tb927.1.1150,0.019637695051750295,0.8467399999999999,-0.10209657824956242,0.517,zeta tubulin
92,Tb927.1.1160,0.13511065316630028,0.46857,0.18121757545392628,0.03082,kinetoplast ribosomal PPR-repeat containing protein 3
93,Tb927.1.120,-0.1640720999637576,0.049280000000000004,0.006767932853871766,0.68857,"retrotransposon hot spot protein 4 (RHS4), putative"
94,Tb927.1.1200,0.157432069820733,0.35494000000000003,0.27022366226687705,0.00618,Mitochondrial ribosomal protein S15
95,Tb927.1.1210,-0.005591210849820189,0.6171,-0.023483459623278982,0.93322,"conserved protein, unknown function"
96,Tb927.1.1220,0.07963837935143989,0.7835,0.03533942660994476,0.50621,RWD domain-containing protein
97,Tb927.1.1240,-0.04413537841781605,0.32804,-0.2206395490405192,0.05877,"cytidine triphosphate synthase, putative"
98,Tb927.1.1270,0.23541665159370717,0.12785,0.05292850128129062,0.39838,"homocysteine S-methyltransferase, putative"
99,Tb927.1.1310,-0.021632458675995902,0.44671000000000005,-0.16557632430569452,0.17238,"transmembrane protein, conserved"
100,Tb927.1.1330,0.08759591791061568,0.7363,-0.06663863897457308,0.70382,Mitochondrial Editosome-like Complex TUTase
101,Tb927.1.1340,0.30708665578148875,0.06189,-0.0740848644332872,0.94353,"Quinonprotein alcohol dehydrogenase-like protein, putative"
102,Tb927.1.1370,0.7428357257413102,0.00079,0.018228636740605673,0.6248600000000001,"rRNA biogenesis protein, putative"
103,Tb927.1.1380,0.06337959677664991,0.84672,-0.09405494760785045,0.47485,"serine/threonine protein phosphatase 2A regulatory subunit, putative"
104,Tb927.1.1390,0.07611320026697437,0.78943,0.08922285404592381,0.198,"hypothetical protein, conserved"
105,Tb927.1.1400,0.13705713546488654,0.48491999999999996,0.15591131411039072,0.061579999999999996,"Overproducer of inositol protein 10 homolog, putative"
106,Tb927.1.1420,0.07754227218862304,0.78715,0.05113960516388137,0.43178,"conserved protein, unknown function"
107,Tb927.1.1470,-0.01767460740258906,0.47188,-0.011353277779013602,0.81689,"conserved protein, unknown function"
108,Tb927.1.1530,-0.1269012193781514,0.08929,-0.13563327870076605,0.27703,"STE group serine/threonine-protein kinase, putative"
109,Tb927.1.1540,-0.03977356693198224,0.33766,-0.1118696794493154,0.40016,"Tubulin/FtsZ family, putative"
110,Tb927.1.1550,0.048359113518580445,0.8349700000000001,-0.12970632556821518,0.29412,"tubulin-tyrosine ligase, putative"
111,Tb927.1.1560,0.011737953863295658,0.67845,-0.009073339756205282,0.8289700000000001,"vesicular-fusion protein nsf, putative"
112,Tb927.1.1580,0.004193646639101993,0.6000800000000001,-0.10449850565270763,0.41777,"electron transport protein SCO1/2, putative"
113,Tb927.1.1610,-0.15467404509031538,0.06978,-0.07087309217978746,0.68429,"hypothetical protein, conserved"
114,Tb927.1.1620,0.026265354531602895,0.72828,0.08581576528710731,0.20792,"ATP-dependent DEAD/H RNA helicase, putative"
115,Tb927.1.1630,-0.06102154035860966,0.29483000000000004,-0.055378864653129814,0.75745,transcription elongation factor 1 homolog
116,Tb927.1.1640,0.013054497049416091,0.66846,0.01778792062099418,0.65172,"hypothetical protein, conserved"
117,Tb927.1.1670,0.02646334207985373,0.7368399999999999,-0.07690773580362159,0.6039,ARM-like helical domain-containing protein
118,Tb927.1.1680,0.021275719759359824,0.69835,-0.21735062248943085,0.07052,Transcription elongation factor 1 domain-containing protein
119,Tb927.1.1690,0.1085524570753027,0.61338,-0.03760803683034668,0.8563799999999999,RNA-editing nuclease 1
120,Tb927.1.1700,0.013786324356506324,0.69476,0.11788140254033637,0.15799000000000002,"AATF protein, putative"
121,Tb927.1.1710,-0.028840603445925053,0.40488,-0.062043406575711925,0.6877300000000001,"transmembrane protein, conserved"
122,Tb927.1.1720,0.16072190363963368,0.34528000000000003,0.01206930727779035,0.69609,"cyclophilin 15, putative"
123,Tb927.1.1730,0.12700313480088302,0.50156,-0.11072512697351214,0.38021,"Polyadenylation mediator complex protein PAMC1, putative"
124,Tb927.1.1750,-0.013964960091902318,0.49625,0.005294451799906386,0.76968,"conserved protein, unknown function"
125,Tb927.1.1770,0.1447651735984387,0.4368,-0.0372645844837315,0.8414200000000001,Dithiol glutaredoxin 2
126,Tb927.1.1790,-0.0981955328598407,0.14958,0.11956834596497132,0.10735,"hypothetical PIN domain-containing protein, conserved"
127,Tb927.1.180,-0.13376692734841297,0.08111,0.004008854503190721,0.70782,"retrotransposon hot spot protein 1 (RHS1), putative"
128,Tb927.1.1840,0.08928675690909932,0.72828,-0.1519788195624648,0.24014000000000002,"conserved protein, unknown function"
129,Tb927.1.1880,0.10976420597616525,0.66377,0.1195669536874227,0.14204,WD40 repeat-containing protein
130,Tb927.1.1890,-0.07094369956848354,0.21893,0.07988830249526364,0.28252,Replication Factor C Subunit 1-related protein
131,Tb927.1.190,-0.15107805866821494,0.06469,-0.0621931911409219,0.68604,"retrotransposon hot spot protein (RHS, pseudogene), putative"
132,Tb927.1.1910,-0.03670478243586608,0.38576,-0.0231822364994432,0.87782,MORN repeat-containing protein
133,Tb927.1.1920,0.18974955445233793,0.23364000000000001,0.004332193355312434,0.7590899999999999,"conserved protein, unknown function"
134,Tb927.1.1930,0.07986213199243919,0.7810600000000001,-0.0033229427023285982,0.76467,"phosphatidylinositol 3-kinase, putative"
135,Tb927.1.1960,0.06887468077893501,0.8193799999999999,0.018305109167915203,0.62783,"chaperone protein DnaJ, putative"
136,Tb927.1.1980,-0.06220235549034265,0.24891999999999997,0.08011062255184001,0.29011,"protein transport protein YIF1, putative"
137,Tb927.1.1990,0.12757532889348003,0.5083,-0.2748371563615446,0.021730000000000003,"Pre-mRNA-splicing factor 38, putative"
138,Tb927.1.2100,0.10615076861016962,0.6178,-0.07261485535078784,0.6139399999999999,Calpain-like protein 1.1
139,Tb927.1.2110,0.052621530131393444,0.85672,-0.10639714575002883,0.41541999999999996,Calpain-like protein 1.2
140,Tb927.1.2120,0.015463981220410136,0.66613,-0.05356033478110571,0.7509399999999999,Calpain-like protein CALP1.3
141,Tb927.1.2190,0.011272809418865118,0.64046,-0.0739833648619142,0.61456,"Raptor N-terminal CASPase like domain containing protein, putative"
142,Tb927.1.220,-0.3449301439991293,0.00543,-0.0027239564604951048,0.76213,"retrotransposon hot spot protein 1 (RHS1), putative"
143,Tb927.1.2210,-0.30490193087199824,0.0082,0.005286408263332142,0.70667,"nucleosome assembly protein (NAP), putative"
144,Tb927.1.2230,0.220363287129002,0.14593,-0.047979403176271807,0.7802100000000001,small myristoylated protein 1-1
145,Tb927.1.2260,0.10357991395627807,0.63989,-0.034607673780987946,0.84835,small myristoylated protein 1-2
146,Tb927.1.2320,-0.8241696106616159,0.0,0.10756811353342831,0.14015999999999998,"hypothetical protein, conserved"
147,Tb927.1.2390,0.07464038976751326,0.7951699999999999,-0.12390949131668264,0.32787,beta tubulin
148,Tb927.1.240,-0.11242992063532016,0.12916,0.04941237024738001,0.45657,"retrotransposon hot spot protein (RHS, pseudogene), putative"
149,Tb927.1.2400,0.10545799146982858,0.6383,-0.040100773971780725,0.84573,alpha tubulin
150,Tb927.1.2550,0.18178179466208622,0.28849,0.0279264530170647,0.59032,"histone H3, putative"
151,Tb927.1.2570,0.2542194159014818,0.09049,-0.09576773512427467,0.46839,coatomer beta subunit
152,Tb927.1.2580,0.17509971500883525,0.28021999999999997,-0.06139804851160717,0.7214,exosome-associated protein 1
153,Tb927.1.2600,0.13694221505640536,0.45423,-0.10210435552249912,0.50016,pumilio/PUF RNA binding protein 9
154,Tb927.1.2670,0.18487741504882224,0.25001999999999996,-0.14877010942117128,0.21113,paralyzed flagella 16
155,Tb927.1.2730,0.16235236639195794,0.33547,0.09895542150573824,0.18162999999999999,"conserved protein, unknown function"
156,Tb927.1.2750,0.8012174182384653,0.00045,-0.08084172509945793,0.58628,"hypothetical protein, conserved"
157,Tb927.1.2770,0.02740310632947953,0.74366,0.03238842837405717,0.5665100000000001,"hypothetical protein, conserved"
158,Tb927.1.2970,0.0770524329146559,0.77689,-0.041708611527565206,0.80045,"hypothetical protein, conserved"
159,Tb927.1.2980,0.15177963698866534,0.37629,-0.278794996083233,0.025259999999999998,"hypothetical protein, conserved"
160,Tb927.1.2990,0.046254590192594015,0.8263799999999999,0.09399478185841151,0.18315,kinetoplast ribosomal PPR-repeat containing protein 2
161,Tb927.1.3000,-0.1828375409637694,0.0367,0.03774751984042534,0.47358,"amidohydrolase, putative"
162,Tb927.1.3010,-0.018525885836573865,0.45435,-0.035669117528647834,0.84415,"mRNA processing protein, putative"
163,Tb927.1.3030,-0.032889027942296825,0.37648000000000004,0.009432966692173311,0.67909,KREL2
164,Tb927.1.3040,0.07216644347915553,0.82473,0.15119759160295798,0.056589999999999994,"hypothetical protein, conserved"
165,Tb927.1.3050,0.12170873099552816,0.61573,-0.05765312351084663,0.7590899999999999,"tRNA (Uracil-5-)-methyltransferase, putative"
166,Tb927.1.3070,0.20193787589476234,0.1921,-0.0163136425054733,0.84911,"hypothetical protein, conserved"
167,Tb927.1.3110,0.0004980821871979342,0.57497,-0.10009794048940875,0.43935,"soluble N-ethylmaleimide sensitive factor (NSF) attachment protein, putative"
168,Tb927.1.3150,0.10593945915548907,0.6260100000000001,-0.019185975868165363,0.8586299999999999,"hypothetical protein, conserved"
169,Tb927.1.3170,-0.02558622340167562,0.41828999999999994,-0.05419501979835653,0.7360800000000001,"CHORD, putative"
170,Tb927.1.3180,0.26030565680180723,0.08596000000000001,-0.13704059023451945,0.26418,"40S ribosomal protein S11, putative"
171,Tb927.1.320,0.04092014316337286,0.8370799999999999,-0.020719793152838475,0.8907700000000001,"retrotransposon hot spot protein (RHS, pseudogene), putative"
172,Tb927.1.3200,-0.14413950219687838,0.07559,0.049014780012279206,0.41603999999999997,"Suppressor of G2 allele of SKP1, putative"
173,Tb927.1.3220,0.11497105867925117,0.58662,-0.010428663603697838,0.8229,"TBC1 domain family member 20/GTPase, putative"
174,Tb927.1.3230,0.023525029589527065,0.72828,0.0028759066642211205,0.78638,"cell division cycle protein, putative"
175,Tb927.1.3250,0.15176725525222068,0.37779,0.08195546233609825,0.23213000000000003,"Domain of unknown function (DUF4456), putative"
176,Tb927.1.3260,0.05707238324518845,0.8878,-0.021764139656625783,0.8776,"hypothetical protein, conserved"
177,Tb927.1.3270,0.08935503880564422,0.71157,-0.009776134150624718,0.80805,"hypothetical protein, conserved"
178,Tb927.1.3280,0.10897516189782752,0.61635,-0.10813395318372146,0.40663,"septum formation protein MAF homologue, putative"
179,Tb927.1.3290,0.26777769923484956,0.08102000000000001,-0.018066089095692756,0.8507899999999999,"hypothetical protein, conserved"
180,Tb927.1.330,-0.14688766626415914,0.12000999999999999,-0.06598951306102421,0.79196,"retrotransposon hot spot protein (RHS, pseudogene), putative"
181,Tb927.1.3300,0.10048626374377713,0.76152,0.04009269731106906,0.57819,"Myotubularin-related protein, putative"
182,Tb927.1.3310,0.15567122431826205,0.38674000000000003,-0.07557898963709243,0.60406,"hypothetical protein, conserved"
183,Tb927.1.3390,-0.09804322392312803,0.14547000000000002,0.1044876153203569,0.13965999999999998,"Eukaryotic protein of unknown function (DUF866), putative"
184,Tb927.1.3400,0.10136193394087965,0.66903,0.01971686559009059,0.6469,"hypothetical protein, conserved"
185,Tb927.1.3410,0.005210921498739214,0.61163,-0.017899787727701157,0.8569399999999999,"hypothetical protein, conserved"
186,Tb927.1.3450,0.03387820007024368,0.76255,-0.1144429604849056,0.42148,"hypothetical protein, conserved"
187,Tb927.1.3560,0.0865802470727411,0.75156,0.18682751954905477,0.027460000000000002,"Centrosomal protein of 164 kDa, putative"
188,Tb927.1.3800,-0.1079839535073695,0.12884,0.17085474302504702,0.03475,Present in the outer mitochondrial membrane proteome 18
189,Tb927.1.3820,0.1791554109674076,0.27055,-0.06900036052230403,0.64513,"ATP synthase subunit, putative"
190,Tb927.1.3830,0.39629202982528733,0.0176,0.022300863693098756,0.68516,"glucose-6-phosphate isomerase, glycosomal"
191,Tb927.1.3880,0.538636931882023,0.00325,0.05240967855678099,0.41603999999999997,"Fusaric acid resistance protein-like, putative"
192,Tb927.1.3910,0.3032763312188718,0.049280000000000004,-0.054062046613896526,0.7499,Anaphase-promoting complex subunit CDC23
193,Tb927.1.3950,0.10156674500663664,0.6454,-0.06689367060351241,0.66257,alanine aminotransferase
194,Tb927.1.4010,0.06201158560906704,0.85521,0.0752969336035966,0.25799,primase 2
195,Tb927.1.4040,0.13173571400136178,0.56617,-0.08198885325545006,0.85972,"hypothetical protein, conserved"
196,Tb927.1.4050,0.12181779105987796,0.54267,-0.034596429781086645,0.8756700000000001,"ser/thr protein phosphatase, putative"
197,Tb927.1.410,0.019523574407749322,0.6833899999999999,-0.02840163423902772,0.89376,"retrotransposon hot spot protein (RHS, pseudogene), putative"
198,Tb927.1.4100,0.5915437811676847,0.0017800000000000001,0.6689476909790807,0.0004,cytochrome oxidase subunit IV
199,Tb927.1.4160,-0.4486693538372727,0.0017800000000000001,-0.05696414780006442,0.87628,"hypothetical protein, conserved"
200,Tb927.1.4180,0.1360815907234911,0.45516,-0.03770332880083318,0.83739,"leucine-rich repeat protein (LRRP), putative"
201,Tb927.1.420,0.07434859362615812,0.8094,-0.00040073397833617554,0.7893,"retrotransposon hot spot protein 5 (RHS5), putative"
202,Tb927.1.4220,0.03145674940015262,0.76642,0.0349768496579856,0.4993,"Ydr279p protein family (RNase H2 complex component), putative"
203,Tb927.1.4230,0.10850364104184007,0.64478,0.05133077963667601,0.42468,"hypothetical protein, conserved"
204,Tb927.1.4250,0.012166189043420228,0.7208399999999999,-0.08794793640995655,0.52541,"hypothetical protein, conserved"
205,Tb927.1.4280,0.07859900805313799,0.77473,-0.011470421592974478,0.82157,"hypothetical protein, conserved"
206,Tb927.1.4310,0.08965991150464458,0.76039,-0.040528922078519,0.85206,Flagellum attachment zone protein 2
207,Tb927.1.4340,0.0836329778491791,0.74485,0.007960957211287398,0.68521,"hypothetical protein, conserved"
208,Tb927.1.4400,0.036893741002699584,0.78351,-0.09794154637051208,0.49458,"hypothetical protein, conserved"
209,Tb927.1.4410,0.026945623463341544,0.73351,-0.06936023524581804,0.64873,SUMO-interacting motif-containing protein
210,Tb927.1.4420,0.05856317922504398,0.86818,-0.23394229674130557,0.04757,"ABC transporter, putative"
211,Tb927.1.4450,0.09359023943486146,0.73907,-0.06490921272138725,0.70541,"calcium-activated potassium channel, putative"
212,Tb927.1.4470,0.037671191512944985,0.78713,-0.21300627799952096,0.0875,"hypothetical protein, conserved"
213,Tb927.1.4480,0.20231993946000684,0.19935999999999998,0.005947379766041708,0.69609,"WD repeat and HMG-box DNA-binding protein, putative"
214,Tb927.1.4490,0.177966869858723,0.45266000000000006,0.15263146380172365,0.20285999999999998,"acetyltransferase, putative"
215,Tb927.1.450,0.26683740375307796,0.08596000000000001,0.13575181575283943,0.10004,"retrotransposon hot spot protein (RHS, pseudogene), putative"
216,Tb927.1.4500,0.01903813945198647,0.69863,-0.0144099156879992,0.9476100000000001,"SNARE associated Golgi protein, putative"
217,Tb927.1.4680,-0.0266213376862152,0.42449,0.013352450159456348,0.65172,Kinetochore interacting protein 6
218,Tb927.1.4690,-0.017227760376890527,0.46848,-0.12871035190092348,0.29803,Protein arginine N-methyltransferase 1 catalytic subunit
219,Tb927.1.4720,-0.01212593357851614,0.49687,-0.13745674854219272,0.28252,"SET domain containing protein, putative"
220,Tb927.1.4730,0.03686475247688808,0.80735,-0.0636771998455822,0.847,"Ribonuclease H2 non-catalytic subunit (Ylr154p-like), putative"
221,Tb927.1.4740,0.19094942156355968,0.23811,0.0476287199194849,0.43468999999999997,"FAM91 N-terminus/FAM91 C-terminus, putative"
222,Tb927.1.4760,0.12270238223587474,0.5295,-0.025330037535457275,0.8870100000000001,"Vacuolar sorting protein 39 domain 1/Vacuolar sorting protein 39 domain 2, putative"
223,Tb927.1.4780,0.06685469377842218,0.84856,-0.09659236538526313,0.4829,Alpha/beta hydrolase domain-containing protein
224,Tb927.1.4800,0.23710202504573274,0.20347,0.19316746948551533,0.03921,"hypothetical protein, conserved"
225,Tb927.1.4830,-0.01634738473402534,0.47903,-0.044119332097552366,0.79419,phospholipase A1
226,Tb927.1.5000,0.0758165547715535,0.7965899999999999,-0.017983117326760206,0.8523,"hypothetical protein, conserved"
