,Gene_acc,Gene_id,Plus1,Plus2,Plus3,Minus1,Minus2,Minus3,Desc
38,38,Tb11.v5.0366,2762600.0,2774200.0,2610800.0,3133900.0,3067500.0,3095700.0,"hypothetical protein, conserved"
39,39,Tb11.v5.0412,335400.0,357420.0,327860.0,318820.0,319000.0,338470.0,"hypothetical protein, conserved"
40,40,Tb11.v5.0428,52902.0,52946.0,53161.0,56218.0,55196.0,55855.0,"hypothetical protein, conserved"
41,41,Tb11.v5.0468,125880.0,99367.0,130850.0,96356.0,125300.0,92271.0,"alpha tubulin, putative"
42,42,Tb11.v5.0480,1079100.0,1185400.0,1087000.0,1141600.0,1049500.0,1189600.0,"DNA-directed RNA polymerase, alpha subunit, putative"
43,43,Tb11.v5.0482,111120.0,107770.0,113980.0,109230.0,110200.0,108880.0,"hypothetical protein, conserved"
44,44,Tb11.v5.0487,523710.0,545410.0,529290.0,532300.0,528480.0,549520.0,"Programmed cell death protein 2, C-terminal putative domain containing protein, putative"
45,45,Tb11.v5.0489,284170.0,286900.0,276200.0,277250.0,267920.0,285710.0,"retrotransposon hot spot (RHS) protein, putative"
46,46,Tb11.v5.0493,125000.0,133880.0,121840.0,139360.0,120420.0,129460.0,"kinesin K39, putative"
47,47,Tb11.v5.0501,4503900.0,4583000.0,4518700.0,4405500.0,4344900.0,4387600.0,"40S ribosomal protein S3A, putative"
48,48,Tb11.v5.0507,243890.0,237160.0,243110.0,235070.0,254780.0,241100.0,"hypothetical protein, conserved"
49,49,Tb11.v5.0517,171840.0,166720.0,169320.0,153220.0,151840.0,152710.0,"hypothetical protein, conserved"
50,50,Tb11.v5.0528,240220.0,248590.0,238880.0,244020.0,246350.0,252350.0,"hypothetical protein, conserved"
51,51,Tb11.v5.0537,2723100.0,2772000.0,2829000.0,2906500.0,3046700.0,2907100.0,"polyubiquitin, putative"
52,52,Tb11.v5.0553,185420.0,192710.0,172650.0,188080.0,176280.0,180990.0,"ubiquitin hydrolase, putative"
53,53,Tb11.v5.0567,65001.0,63587.0,68389.0,63958.0,65414.0,63542.0,"retrotransposon hot spot (RHS) protein, putative"
54,54,Tb11.v5.0594,440040.0,500930.0,428380.0,473030.0,427660.0,499960.0,"retrotransposon hot spot (RHS) protein, putative"
55,55,Tb11.v5.0618,31547.0,31775.0,31851.0,28030.0,27531.0,26360.0,"hypothetical protein, conserved"
56,56,Tb11.v5.0624,2307600.0,2315800.0,2273500.0,2206600.0,2189500.0,2210300.0,"retrotransposon hot spot protein (PHS), putative"
57,57,Tb11.v5.0627,288630.0,297500.0,293780.0,320740.0,322130.0,330100.0,"lipase domain protein, putative"
58,58,Tb11.v5.0636,2255700.0,2326500.0,2175800.0,2490500.0,2407200.0,2481700.0,"C-terminal motor kinesin, putative"
59,59,Tb11.v5.0652,82358.0,85095.0,86518.0,83711.0,92171.0,88947.0,"protein kinase, putative"
60,60,Tb11.v5.0670,149500.0,150540.0,154360.0,153100.0,146040.0,157430.0,"retrotransposon hot spot (RHS) protein, putative"
61,61,Tb11.v5.0692,496480.0,520080.0,521650.0,538010.0,535790.0,556260.0,"Thiopurine S-methyltransferase (TPMT), putative"
62,62,Tb11.v5.0713,5385900.0,5453600.0,5316900.0,5462000.0,5514500.0,5434300.0,"Retrotransposon hot spot protein 6 (RHS6), putative"
63,63,Tb11.v5.0735,33616.0,35233.0,33969.0,33985.0,29693.0,34675.0,"hypothetical protein, conserved"
64,64,Tb11.v5.0736,348380.0,351400.0,334440.0,366680.0,360090.0,362310.0,"ABC1 family, putative"
65,65,Tb11.v5.0745,51182.0,56738.0,51276.0,48566.0,52366.0,53372.0,"hypothetical protein, conserved"
66,66,Tb11.v5.0746,669290.0,694950.0,651920.0,721450.0,704390.0,737540.0,"tatD related deoxyribonuclease, putative"
67,67,Tb11.v5.0760,39606.0,41174.0,43112.0,48036.0,44689.0,49905.0,"RNA polymerase III transcription factor (TF)IIIC subunit, putative"
68,68,Tb11.v5.0765,80337.0,97019.0,81654.0,85637.0,82372.0,93064.0,"N-acetylglucosaminyl-phosphatidylinositol biosynthetic protein, putative"
69,69,Tb11.v5.0807,749140.0,788540.0,732010.0,814090.0,798660.0,830180.0,"ribonuclease, putative"
70,70,Tb11.v5.0839,77731.0,71302.0,67356.0,69585.0,74645.0,70095.0,"retrotransposon hot spot (RHS) protein, putative"
71,71,Tb11.v5.0842,271210.0,281360.0,275210.0,260560.0,265920.0,272230.0,"Vesicle coat protein involved in Golgi to plasma membrane transport, putative"
72,72,Tb11.v5.0853,487130.0,488480.0,478440.0,503600.0,500570.0,507140.0,"Vacuolar sorting protein 9 (VPS9) domain containing protein, putative"
73,73,Tb11.v5.0868,15821.0,16606.0,15991.0,16457.0,12301.0,14276.0,"mitotubule-associated protein Gb4, putative"
74,74,Tb11.v5.0885,88736.0,96279.0,85678.0,95089.0,87304.0,88689.0,"amino acid transporter, putative"
75,75,Tb11.v5.0892,56869.0,60308.0,57615.0,57184.0,55955.0,60646.0,"hypothetical protein, conserved"
76,76,Tb11.v5.0905,340960.0,350400.0,337660.0,375200.0,366420.0,367610.0,"hypothetical protein, conserved"
77,77,Tb11.v5.0965,408460.0,429190.0,409990.0,416390.0,410570.0,437760.0,"ATP-dependent DEAH-box RNA helicase, putative"
78,78,Tb11.v5.1016,151130.0,156110.0,152340.0,211470.0,206080.0,211260.0,"receptor-type adenylate cyclase GRESAG 4 (pseudogene), putative"
79,79,Tb11.v5.1020,150190.0,149710.0,143370.0,140140.0,143070.0,142360.0,"retrotransposon hot spot (RHS) protein, putative"
80,80,Tb11.v5.1052,30501.0,30182.0,31970.0,35291.0,32248.0,34709.0,"nucleobase/nucleoside transporter 8.1, putative"
81,81,Tb927.1.1000,652130.0,645630.0,636230.0,659950.0,678110.0,655780.0,developmentally regulated phosphoprotein
82,82,Tb927.1.1020,236620.0,251030.0,253380.0,263790.0,254760.0,265780.0,leucine-rich repeat-containing protein
83,83,Tb927.1.1030,349550.0,346500.0,343410.0,358920.0,349510.0,350080.0,Nucleolar protein 49
84,84,Tb927.1.1050,214910.0,230090.0,214660.0,223790.0,221700.0,227730.0,Metallo-dependent phosphatase-like domain-containing protein
85,85,Tb927.1.1060,597900.0,633720.0,584190.0,595870.0,564080.0,603770.0,"Cell cycle checkpoint protein RAD1-like, putative"
86,86,Tb927.1.1080,49978.0,50462.0,53841.0,45944.0,46188.0,45687.0,"TFIIH basal transcription factor subunit, putative"
87,87,Tb927.1.1100,408940.0,439000.0,413360.0,389850.0,390850.0,420570.0,Basal body protein
88,88,Tb927.1.1120,338540.0,345940.0,325250.0,347060.0,336020.0,359660.0,"ribosomal RNA-processing protein 8, putative"
89,89,Tb927.1.1130,433960.0,432110.0,434730.0,402660.0,413800.0,406790.0,"glycerol-3-phosphate dehydrogenase (FAD-dependent), putative"
90,90,Tb927.1.1140,323490.0,344850.0,338760.0,385960.0,375760.0,392380.0,"Transmembrane protein 231, putative"
91,91,Tb927.1.1150,43784.0,52947.0,48035.0,48792.0,51301.0,55289.0,zeta tubulin
92,92,Tb927.1.1160,213500.0,229560.0,211370.0,186640.0,190750.0,199790.0,kinetoplast ribosomal PPR-repeat containing protein 3
93,93,Tb927.1.120,7525000.0,7621800.0,7352300.0,7515600.0,7381900.0,7496300.0,"retrotransposon hot spot protein 4 (RHS4), putative"
94,94,Tb927.1.1200,648160.0,663320.0,638300.0,538560.0,535830.0,542350.0,Mitochondrial ribosomal protein S15
95,95,Tb927.1.1210,117140.0,123560.0,110900.0,112700.0,118110.0,126560.0,"conserved protein, unknown function"
96,96,Tb927.1.1220,739010.0,734510.0,722130.0,707110.0,715850.0,719560.0,RWD domain-containing protein
97,97,Tb927.1.1240,2263100.0,2279900.0,2304200.0,2664600.0,2654900.0,2659200.0,"cytidine triphosphate synthase, putative"
98,98,Tb927.1.1270,1069200.0,1062700.0,1043900.0,1008400.0,1031000.0,1022000.0,"homocysteine S-methyltransferase, putative"
99,99,Tb927.1.1310,207340.0,220090.0,214930.0,243560.0,233990.0,242930.0,"transmembrane protein, conserved"
100,100,Tb927.1.1330,760740.0,799620.0,760800.0,816700.0,768830.0,845360.0,Mitochondrial Editosome-like Complex TUTase
101,101,Tb927.1.1340,276530.0,253370.0,266030.0,276860.0,303530.0,257480.0,"Quinonprotein alcohol dehydrogenase-like protein, putative"
102,102,Tb927.1.1370,775270.0,827770.0,803050.0,786950.0,784020.0,804910.0,"rRNA biogenesis protein, putative"
103,103,Tb927.1.1380,1027800.0,1071400.0,1018100.0,1106800.0,1102400.0,1118100.0,"serine/threonine protein phosphatase 2A regulatory subunit, putative"
104,104,Tb927.1.1390,173950.0,180790.0,169680.0,161740.0,166000.0,165230.0,"hypothetical protein, conserved"
105,105,Tb927.1.1400,168220.0,163700.0,161760.0,143560.0,149040.0,150510.0,"Overproducer of inositol protein 10 homolog, putative"
106,106,Tb927.1.1420,640700.0,686490.0,639710.0,640600.0,615300.0,642500.0,"conserved protein, unknown function"
107,107,Tb927.1.1470,643390.0,655310.0,651800.0,648340.0,659880.0,657690.0,"conserved protein, unknown function"
108,108,Tb927.1.1530,245880.0,246610.0,253440.0,273290.0,268710.0,277460.0,"STE group serine/threonine-protein kinase, putative"
109,109,Tb927.1.1540,439850.0,445460.0,441900.0,465150.0,483070.0,486000.0,"Tubulin/FtsZ family, putative"
110,110,Tb927.1.1550,282200.0,286080.0,283630.0,311520.0,307090.0,313440.0,"tubulin-tyrosine ligase, putative"
111,111,Tb927.1.1560,2485500.0,2436800.0,2495700.0,2492200.0,2534700.0,2437900.0,"vesicular-fusion protein nsf, putative"
112,112,Tb927.1.1580,770990.0,779780.0,743940.0,824110.0,819340.0,823640.0,"electron transport protein SCO1/2, putative"
113,113,Tb927.1.1610,148080.0,141920.0,147320.0,150100.0,151610.0,157630.0,"hypothetical protein, conserved"
114,114,Tb927.1.1620,896320.0,922180.0,906770.0,838830.0,853130.0,875930.0,"ATP-dependent DEAD/H RNA helicase, putative"
115,115,Tb927.1.1630,126550.0,123550.0,122230.0,128870.0,123370.0,134660.0,transcription elongation factor 1 homolog
116,116,Tb927.1.1640,92566.0,100010.0,97861.0,95328.0,95209.0,96341.0,"hypothetical protein, conserved"
117,117,Tb927.1.1670,3130000.0,3260900.0,3073100.0,3373800.0,3221200.0,3387200.0,ARM-like helical domain-containing protein
118,118,Tb927.1.1680,266320.0,280730.0,265390.0,315940.0,305510.0,323090.0,Transcription elongation factor 1 domain-containing protein
119,119,Tb927.1.1690,497200.0,505900.0,497810.0,499080.0,519630.0,521840.0,RNA-editing nuclease 1
120,120,Tb927.1.1700,1495400.0,1436100.0,1442700.0,1333400.0,1382100.0,1315500.0,"AATF protein, putative"
121,121,Tb927.1.1710,1490200.0,1510500.0,1496000.0,1564500.0,1550200.0,1579600.0,"transmembrane protein, conserved"
122,122,Tb927.1.1720,517560.0,548950.0,515550.0,528810.0,505690.0,534380.0,"cyclophilin 15, putative"
123,123,Tb927.1.1730,587850.0,605860.0,584760.0,634210.0,631110.0,655020.0,"Polyadenylation mediator complex protein PAMC1, putative"
124,124,Tb927.1.1750,79322.0,83029.0,81704.0,76634.0,75923.0,90604.0,"conserved protein, unknown function"
125,125,Tb927.1.1770,354900.0,354360.0,352410.0,363760.0,360970.0,364720.0,Dithiol glutaredoxin 2
126,126,Tb927.1.1790,179540.0,184520.0,186250.0,169730.0,163590.0,173220.0,"hypothetical PIN domain-containing protein, conserved"
127,127,Tb927.1.180,5740400.0,5855100.0,5594500.0,5723100.0,5702900.0,5716300.0,"retrotransposon hot spot protein 1 (RHS1), putative"
128,128,Tb927.1.1840,217530.0,226530.0,209720.0,244040.0,232540.0,249830.0,"conserved protein, unknown function"
129,129,Tb927.1.1880,127660.0,143260.0,142100.0,125750.0,123390.0,131030.0,WD40 repeat-containing protein
130,130,Tb927.1.1890,273750.0,288410.0,282480.0,265480.0,275550.0,258110.0,Replication Factor C Subunit 1-related protein
131,131,Tb927.1.190,2086800.0,2114200.0,2000800.0,2166800.0,2131900.0,2176300.0,"retrotransposon hot spot protein (RHS, pseudogene), putative"
132,132,Tb927.1.1910,223070.0,228860.0,228380.0,228520.0,230170.0,232640.0,MORN repeat-containing protein
133,133,Tb927.1.1920,160130.0,163280.0,153520.0,151580.0,164790.0,159130.0,"conserved protein, unknown function"
134,134,Tb927.1.1930,2079700.0,2125800.0,2082600.0,2099100.0,2090700.0,2112800.0,"phosphatidylinositol 3-kinase, putative"
135,135,Tb927.1.1960,1470200.0,1521000.0,1442500.0,1469200.0,1419300.0,1489300.0,"chaperone protein DnaJ, putative"
136,136,Tb927.1.1980,88276.0,87861.0,87494.0,80445.0,85840.0,83106.0,"protein transport protein YIF1, putative"
137,137,Tb927.1.1990,147760.0,152420.0,147600.0,181830.0,180420.0,179500.0,"Pre-mRNA-splicing factor 38, putative"
138,138,Tb927.1.2100,5017100.0,5113100.0,4931500.0,5330800.0,5175400.0,5333000.0,Calpain-like protein 1.1
139,139,Tb927.1.2110,322400.0,326840.0,323630.0,354770.0,336470.0,356090.0,Calpain-like protein 1.2
140,140,Tb927.1.2120,1852700.0,1945000.0,1899900.0,2000900.0,1918200.0,1994000.0,Calpain-like protein CALP1.3
141,141,Tb927.1.2190,414720.0,431450.0,410790.0,438800.0,432020.0,452280.0,"Raptor N-terminal CASPase like domain containing protein, putative"
142,142,Tb927.1.220,242100.0,240450.0,237070.0,240840.0,239410.0,240730.0,"retrotransposon hot spot protein 1 (RHS1), putative"
143,143,Tb927.1.2210,1082800.0,1101500.0,1041900.0,1080100.0,1047100.0,1087200.0,"nucleosome assembly protein (NAP), putative"
144,144,Tb927.1.2230,1054700.0,1109400.0,1068100.0,1100200.0,1093300.0,1148000.0,small myristoylated protein 1-1
145,145,Tb927.1.2260,2321400.0,2410000.0,2324300.0,2426800.0,2361700.0,2438500.0,small myristoylated protein 1-2
146,146,Tb927.1.2320,316420.0,324890.0,307350.0,291890.0,286660.0,301950.0,"hypothetical protein, conserved"
147,147,Tb927.1.2390,32558000.0,33422000.0,33213000.0,35268000.0,36438000.0,36383000.0,beta tubulin
148,148,Tb927.1.240,488520.0,473920.0,464640.0,458490.0,471540.0,449000.0,"retrotransposon hot spot protein (RHS, pseudogene), putative"
149,149,Tb927.1.2400,27972000.0,28656000.0,28912000.0,28729000.0,29735000.0,29487000.0,alpha tubulin
150,150,Tb927.1.2550,1510100.0,1596100.0,1494500.0,1531700.0,1448300.0,1532500.0,"histone H3, putative"
151,151,Tb927.1.2570,2403500.0,2460200.0,2395100.0,2567600.0,2561000.0,2628400.0,coatomer beta subunit
152,152,Tb927.1.2580,389400.0,415770.0,398930.0,428390.0,407510.0,420550.0,exosome-associated protein 1
153,153,Tb927.1.2600,452820.0,487600.0,468810.0,490830.0,479970.0,541780.0,pumilio/PUF RNA binding protein 9
154,154,Tb927.1.2670,1443500.0,1456400.0,1406700.0,1603600.0,1594900.0,1575900.0,paralyzed flagella 16
155,155,Tb927.1.2730,568690.0,576570.0,557530.0,513530.0,520350.0,556030.0,"conserved protein, unknown function"
156,156,Tb927.1.2750,750020.0,782940.0,759400.0,812480.0,770970.0,841030.0,"hypothetical protein, conserved"
157,157,Tb927.1.2770,134100.0,135980.0,136680.0,132100.0,136110.0,129520.0,"hypothetical protein, conserved"
158,158,Tb927.1.2970,181370.0,190430.0,175040.0,189590.0,189680.0,183610.0,"hypothetical protein, conserved"
159,159,Tb927.1.2980,134130.0,148000.0,137560.0,168650.0,163210.0,177300.0,"hypothetical protein, conserved"
160,160,Tb927.1.2990,1149100.0,1204300.0,1145600.0,1087800.0,1066300.0,1124200.0,kinetoplast ribosomal PPR-repeat containing protein 2
161,161,Tb927.1.3000,592700.0,610600.0,590680.0,572750.0,577080.0,597820.0,"amidohydrolase, putative"
162,162,Tb927.1.3010,773450.0,804890.0,787820.0,810480.0,797140.0,817770.0,"mRNA processing protein, putative"
163,163,Tb927.1.3030,576820.0,584290.0,555910.0,570270.0,560410.0,575150.0,KREL2
164,164,Tb927.1.3040,236620.0,246220.0,235370.0,211460.0,222190.0,213100.0,"hypothetical protein, conserved"
165,165,Tb927.1.3050,599550.0,582950.0,599880.0,616900.0,619260.0,618890.0,"tRNA (Uracil-5-)-methyltransferase, putative"
166,166,Tb927.1.3070,615760.0,625520.0,594820.0,618250.0,598980.0,639750.0,"hypothetical protein, conserved"
167,167,Tb927.1.3110,1451900.0,1480300.0,1411800.0,1560600.0,1528300.0,1567200.0,"soluble N-ethylmaleimide sensitive factor (NSF) attachment protein, putative"
168,168,Tb927.1.3150,305460.0,309440.0,297890.0,306500.0,307980.0,310530.0,"hypothetical protein, conserved"
169,169,Tb927.1.3170,964290.0,978320.0,949530.0,998230.0,988520.0,1016100.0,"CHORD, putative"
170,170,Tb927.1.3180,1646800.0,1675300.0,1608300.0,1856600.0,1751800.0,1813300.0,"40S ribosomal protein S11, putative"
171,171,Tb927.1.320,34909.0,40459.0,36277.0,37058.0,38758.0,37444.0,"retrotransposon hot spot protein (RHS, pseudogene), putative"
172,172,Tb927.1.3200,1205800.0,1171300.0,1170400.0,1155400.0,1134700.0,1138900.0,"Suppressor of G2 allele of SKP1, putative"
173,173,Tb927.1.3220,319310.0,334480.0,311090.0,321900.0,316270.0,333710.0,"TBC1 domain family member 20/GTPase, putative"
174,174,Tb927.1.3230,230530.0,246750.0,230750.0,235420.0,223580.0,247620.0,"cell division cycle protein, putative"
175,175,Tb927.1.3250,501140.0,516020.0,518410.0,476210.0,486450.0,488110.0,"Domain of unknown function (DUF4456), putative"
176,176,Tb927.1.3260,857960.0,903270.0,851250.0,882910.0,868070.0,901210.0,"hypothetical protein, conserved"
177,177,Tb927.1.3270,945230.0,960910.0,926500.0,966060.0,925510.0,960330.0,"hypothetical protein, conserved"
178,178,Tb927.1.3280,100310.0,103680.0,98246.0,107710.0,106690.0,111360.0,"septum formation protein MAF homologue, putative"
179,179,Tb927.1.3290,304140.0,320540.0,314120.0,307350.0,319470.0,323810.0,"hypothetical protein, conserved"
180,180,Tb927.1.330,33075.0,35541.0,32703.0,34724.0,33402.0,37935.0,"retrotransposon hot spot protein (RHS, pseudogene), putative"
181,181,Tb927.1.3300,750060.0,734690.0,752590.0,701590.0,762310.0,712120.0,"Myotubularin-related protein, putative"
182,182,Tb927.1.3310,760500.0,794560.0,756600.0,809660.0,790210.0,836120.0,"hypothetical protein, conserved"
183,183,Tb927.1.3390,156300.0,161740.0,157450.0,145110.0,146910.0,150250.0,"Eukaryotic protein of unknown function (DUF866), putative"
184,184,Tb927.1.3400,208030.0,219820.0,200570.0,203430.0,204220.0,212240.0,"hypothetical protein, conserved"
185,185,Tb927.1.3410,864450.0,874220.0,870170.0,862720.0,903030.0,875660.0,"hypothetical protein, conserved"
186,186,Tb927.1.3450,783610.0,795040.0,794620.0,849010.0,882660.0,837530.0,"hypothetical protein, conserved"
187,187,Tb927.1.3560,120570.0,120860.0,116370.0,103770.0,103590.0,106980.0,"Centrosomal protein of 164 kDa, putative"
188,188,Tb927.1.3800,428930.0,435950.0,427340.0,381510.0,385470.0,380920.0,Present in the outer mitochondrial membrane proteome 18
189,189,Tb927.1.3820,127070.0,131510.0,133340.0,134140.0,133180.0,143800.0,"ATP synthase subunit, putative"
190,190,Tb927.1.3830,1768000.0,1742700.0,1809100.0,1710900.0,1820900.0,1706400.0,"glucose-6-phosphate isomerase, glycosomal"
191,191,Tb927.1.3880,89100.0,97085.0,94202.0,86844.0,87123.0,96417.0,"Fusaric acid resistance protein-like, putative"
192,192,Tb927.1.3910,389900.0,411900.0,392420.0,417350.0,403540.0,418930.0,Anaphase-promoting complex subunit CDC23
193,193,Tb927.1.3950,2430000.0,2493600.0,2392200.0,2540000.0,2507900.0,2615100.0,alanine aminotransferase
194,194,Tb927.1.4010,363120.0,396590.0,381220.0,349060.0,365070.0,368780.0,primase 2
195,195,Tb927.1.4040,39851.0,43899.0,39719.0,44192.0,38883.0,47614.0,"hypothetical protein, conserved"
196,196,Tb927.1.4050,1393300.0,1487100.0,1408800.0,1482300.0,1410500.0,1500500.0,"ser/thr protein phosphatase, putative"
197,197,Tb927.1.410,315490.0,322870.0,315790.0,333400.0,320650.0,319070.0,"retrotransposon hot spot protein (RHS, pseudogene), putative"
198,198,Tb927.1.4100,2417100.0,2413800.0,2466800.0,1495400.0,1541300.0,1553300.0,cytochrome oxidase subunit IV
199,199,Tb927.1.4160,73655.0,81128.0,72756.0,80666.0,72673.0,83364.0,"hypothetical protein, conserved"
200,200,Tb927.1.4180,714300.0,719370.0,697120.0,724770.0,729190.0,733250.0,"leucine-rich repeat protein (LRRP), putative"
201,201,Tb927.1.420,221050.0,235770.0,227110.0,232230.0,217150.0,234740.0,"retrotransposon hot spot protein 5 (RHS5), putative"
202,202,Tb927.1.4220,167600.0,169310.0,160740.0,160900.0,162610.0,162220.0,"Ydr279p protein family (RNase H2 complex component), putative"
203,203,Tb927.1.4230,602080.0,605470.0,610540.0,579590.0,592250.0,582700.0,"hypothetical protein, conserved"
204,204,Tb927.1.4250,102150.0,113170.0,111770.0,112380.0,116420.0,118850.0,"hypothetical protein, conserved"
205,205,Tb927.1.4280,341410.0,356030.0,342350.0,349870.0,340710.0,357510.0,"hypothetical protein, conserved"
206,206,Tb927.1.4310,3338800.0,3320600.0,3371900.0,3401200.0,3475600.0,3440300.0,Flagellum attachment zone protein 2
207,207,Tb927.1.4340,428250.0,455090.0,435960.0,427260.0,436800.0,447980.0,"hypothetical protein, conserved"
208,208,Tb927.1.4400,268590.0,278660.0,263480.0,284930.0,280480.0,302270.0,"hypothetical protein, conserved"
209,209,Tb927.1.4410,411270.0,410990.0,399840.0,429550.0,415600.0,437140.0,SUMO-interacting motif-containing protein
210,210,Tb927.1.4420,1662600.0,1695600.0,1636000.0,1982900.0,1922900.0,1967600.0,"ABC transporter, putative"
211,211,Tb927.1.4450,99469.0,110530.0,104240.0,109250.0,106780.0,112670.0,"calcium-activated potassium channel, putative"
212,212,Tb927.1.4470,47389.0,51210.0,45605.0,51366.0,59804.0,55977.0,"hypothetical protein, conserved"
213,213,Tb927.1.4480,730630.0,737410.0,743960.0,722770.0,711560.0,768570.0,"WD repeat and HMG-box DNA-binding protein, putative"
214,214,Tb927.1.4490,778130.0,727420.0,773020.0,666530.0,728210.0,655080.0,"acetyltransferase, putative"
215,215,Tb927.1.450,469450.0,476330.0,472410.0,450000.0,429270.0,411560.0,"retrotransposon hot spot protein (RHS, pseudogene), putative"
216,216,Tb927.1.4500,127210.0,140830.0,129440.0,139210.0,123940.0,138320.0,"SNARE associated Golgi protein, putative"
217,217,Tb927.1.4680,486180.0,507170.0,488330.0,488690.0,481590.0,497750.0,Kinetochore interacting protein 6
218,218,Tb927.1.4690,1072600.0,1092900.0,1052600.0,1196500.0,1137800.0,1184100.0,Protein arginine N-methyltransferase 1 catalytic subunit
