Gene_acc,Gene_id,DM1,DM2,DM3,Plus1,Plus2,Plus3,Desc
17,Tb11.02.5400b,3179600.0,3350000.0,3547100.0,3530500.0,3659900.0,3504300.0,"cystathionine beta-synthase, putative"
18,Tb11.02.5410b,560080.0,583730.0,607220.0,551470.0,560850.0,549770.0,"ubiquitin activating enzyme, putative"
19,Tb11.02.5420b,1672200.0,1780600.0,1826100.0,1850500.0,1841500.0,1830900.0,"NADPH-cytochrome p450 reductase, putative"
20,Tb11.02.5430b,135350.0,151900.0,141770.0,140770.0,133440.0,131010.0,"hypothetical protein, conserved"
21,Tb11.0320,288550.0,310230.0,318480.0,291190.0,310620.0,286760.0,hypothetical protein
22,Tb11.0400,2367200.0,2462200.0,2577100.0,1610700.0,1707600.0,1611400.0,"P27 protein, putative"
23,Tb11.0870,91378.0,97811.0,100590.0,84294.0,93660.0,88281.0,hypothetical protein
24,Tb11.0890,882320.0,931950.0,976440.0,786950.0,794280.0,782350.0,"epsin, putative"
25,Tb11.1220,1982500.0,2058000.0,2173800.0,1874700.0,1958200.0,1856400.0,hypothetical protein
26,Tb11.1390.1-p1,1061500.0,1099200.0,1165500.0,955320.0,996170.0,968790.0,"hypothetical protein, conserved"
27,Tb11.1780.1-p1,691600.0,734650.0,774450.0,742360.0,761920.0,748040.0,"retrotransposon hot spot protein 1 (RHS1, pseudogene), putative"
28,Tb11.1790.1-p1,229320.0,228610.0,230240.0,195950.0,201390.0,184440.0,"retrotransposon hot spot protein (RHS, pseudogene), putative"
29,Tb11.1810b.1-p1,165180.0,144710.0,178030.0,189100.0,228630.0,185330.0,"retrotransposon hot spot protein (RHS, pseudogene), putative"
30,Tb11.v5.0154,2013600.0,2220300.0,2223500.0,1984500.0,1977400.0,2026000.0,"WD domain, G-beta repeat, putative"
31,Tb11.v5.0162,1081500.0,1144900.0,1150600.0,1072300.0,1078400.0,1040700.0,proteasome beta 6 subunit
32,Tb11.v5.0191,179070.0,181530.0,195650.0,171410.0,185300.0,170190.0,"ELMO/CED-12 family, putative"
33,Tb11.v5.0194,56717.0,55763.0,62282.0,50575.0,57552.0,53038.0,"hypothetical protein, conserved"
34,Tb11.v5.0196,3281500.0,3489700.0,3563600.0,3239900.0,3212100.0,3152300.0,"Proteasome subunit A N-terminal signature/Proteasome subunit, putative"
35,Tb11.v5.0325,413640.0,443320.0,450380.0,521430.0,526790.0,488770.0,"retrotransposon hot spot (RHS) protein, putative"
36,Tb11.v5.0326,776640.0,793930.0,855330.0,764910.0,791270.0,765620.0,"retrotransposon hot spot (RHS) protein, putative"
37,Tb11.v5.0365,56030.0,57691.0,57473.0,41483.0,43796.0,45512.0,"hypothetical protein, conserved"
38,Tb11.v5.0366,2908800.0,2984900.0,3152800.0,2762600.0,2774200.0,2610800.0,"hypothetical protein, conserved"
39,Tb11.v5.0412,330980.0,339580.0,369200.0,335400.0,357420.0,327860.0,"hypothetical protein, conserved"
40,Tb11.v5.0428,44764.0,47561.0,48470.0,52902.0,52946.0,53161.0,"hypothetical protein, conserved"
41,Tb11.v5.0468,99132.0,131770.0,110360.0,125880.0,99367.0,130850.0,"alpha tubulin, putative"
42,Tb11.v5.0480,1129400.0,1116000.0,1250900.0,1079100.0,1185400.0,1087000.0,"DNA-directed RNA polymerase, alpha subunit, putative"
43,Tb11.v5.0482,115950.0,130330.0,117050.0,111120.0,107770.0,113980.0,"hypothetical protein, conserved"
44,Tb11.v5.0487,497990.0,527780.0,548830.0,523710.0,545410.0,529290.0,"Programmed cell death protein 2, C-terminal putative domain containing protein, putative"
45,Tb11.v5.0489,221330.0,228810.0,248380.0,284170.0,286900.0,276200.0,"retrotransposon hot spot (RHS) protein, putative"
46,Tb11.v5.0493,146860.0,136460.0,160360.0,125000.0,133880.0,121840.0,"kinesin K39, putative"
47,Tb11.v5.0501,4878000.0,5134600.0,5312400.0,4503900.0,4583000.0,4518700.0,"40S ribosomal protein S3A, putative"
48,Tb11.v5.0507,231430.0,257000.0,249460.0,243890.0,237160.0,243110.0,"hypothetical protein, conserved"
49,Tb11.v5.0517,166560.0,181590.0,178400.0,171840.0,166720.0,169320.0,"hypothetical protein, conserved"
50,Tb11.v5.0528,241710.0,257450.0,264650.0,240220.0,248590.0,238880.0,"hypothetical protein, conserved"
51,Tb11.v5.0537,2948400.0,3187400.0,3191800.0,2723100.0,2772000.0,2829000.0,"polyubiquitin, putative"
52,Tb11.v5.0553,172910.0,181520.0,187000.0,185420.0,192710.0,172650.0,"ubiquitin hydrolase, putative"
53,Tb11.v5.0567,45312.0,46273.0,46145.0,65001.0,63587.0,68389.0,"retrotransposon hot spot (RHS) protein, putative"
54,Tb11.v5.0594,371200.0,368560.0,415430.0,440040.0,500930.0,428380.0,"retrotransposon hot spot (RHS) protein, putative"
55,Tb11.v5.0618,31636.0,33432.0,39383.0,31547.0,31775.0,31851.0,"hypothetical protein, conserved"
56,Tb11.v5.0624,1901000.0,2025900.0,2078100.0,2221900.0,2233400.0,2183500.0,"retrotransposon hot spot protein (PHS), putative"
57,Tb11.v5.0627,293050.0,318830.0,329150.0,288630.0,297500.0,293780.0,"lipase domain protein, putative"
58,Tb11.v5.0636,2137000.0,2196400.0,2320700.0,2255700.0,2326500.0,2175800.0,"C-terminal motor kinesin, putative"
59,Tb11.v5.0652,80544.0,88128.0,94601.0,82358.0,85095.0,86518.0,"protein kinase, putative"
60,Tb11.v5.0670,138280.0,153460.0,157360.0,149500.0,150540.0,154360.0,"retrotransposon hot spot (RHS) protein, putative"
61,Tb11.v5.0692,452740.0,508460.0,512820.0,496480.0,520080.0,521650.0,"Thiopurine S-methyltransferase (TPMT), putative"
62,Tb11.v5.0713,5108400.0,5449100.0,5548600.0,5385900.0,5453600.0,5316900.0,"Retrotransposon hot spot protein 6 (RHS6), putative"
63,Tb11.v5.0735,32814.0,34735.0,34916.0,33616.0,35233.0,33969.0,"hypothetical protein, conserved"
64,Tb11.v5.0736,332660.0,344690.0,364790.0,348380.0,351400.0,334440.0,"ABC1 family, putative"
65,Tb11.v5.0745,50371.0,57209.0,60006.0,51182.0,56738.0,51276.0,"hypothetical protein, conserved"
66,Tb11.v5.0746,698420.0,720200.0,757060.0,669290.0,694950.0,651920.0,"tatD related deoxyribonuclease, putative"
67,Tb11.v5.0760,35996.0,43317.0,50979.0,39606.0,41174.0,43112.0,"RNA polymerase III transcription factor (TF)IIIC subunit, putative"
68,Tb11.v5.0765,78569.0,83764.0,85510.0,80337.0,97019.0,81654.0,"N-acetylglucosaminyl-phosphatidylinositol biosynthetic protein, putative"
69,Tb11.v5.0807,775320.0,789390.0,839210.0,749140.0,788540.0,732010.0,"ribonuclease, putative"
70,Tb11.v5.0839,192720.0,222220.0,214830.0,77731.0,71302.0,67356.0,"retrotransposon hot spot (RHS) protein, putative"
71,Tb11.v5.0842,253080.0,278410.0,288820.0,271210.0,281360.0,275210.0,"Vesicle coat protein involved in Golgi to plasma membrane transport, putative"
72,Tb11.v5.0853,470330.0,504510.0,508550.0,487130.0,488480.0,478440.0,"Vacuolar sorting protein 9 (VPS9) domain containing protein, putative"
73,Tb11.v5.0868,15827.0,17532.0,18382.0,15821.0,16606.0,15991.0,"mitotubule-associated protein Gb4, putative"
74,Tb11.v5.0885,83245.0,88032.0,94485.0,88736.0,96279.0,85678.0,"amino acid transporter, putative"
75,Tb11.v5.0892,62371.0,62807.0,68673.0,56869.0,60308.0,57615.0,"hypothetical protein, conserved"
76,Tb11.v5.0905,345750.0,365970.0,367570.0,340960.0,350400.0,337660.0,"hypothetical protein, conserved"
77,Tb11.v5.0965,404910.0,442140.0,446190.0,408460.0,429190.0,409990.0,"ATP-dependent DEAH-box RNA helicase, putative"
78,Tb11.v5.1016,93721.0,108740.0,109210.0,151130.0,156110.0,152340.0,"receptor-type adenylate cyclase GRESAG 4 (pseudogene), putative"
79,Tb11.v5.1020,119460.0,124510.0,127150.0,150190.0,149710.0,143370.0,"retrotransposon hot spot (RHS) protein, putative"
80,Tb11.v5.1052,64156.0,73870.0,75843.0,30501.0,30182.0,31970.0,"nucleobase/nucleoside transporter 8.1, putative"
81,Tb427.BES129.1,2121900.0,2216400.0,2386400.0,1627100.0,1723500.0,1631600.0,none
82,Tb427.BES134.1,91355.0,94223.0,103720.0,91263.0,93234.0,92970.0,none
83,Tb427.BES153.2,56936.0,61039.0,67027.0,69826.0,75596.0,75334.0,none
84,Tb427.BES29.3,576520.0,581940.0,610020.0,1336900.0,1338200.0,1247600.0,none
85,Tb427.BES40.1,744080.0,771960.0,816640.0,443860.0,457340.0,450460.0,none
86,Tb427.BES40.2,174780.0,176580.0,189500.0,432300.0,428320.0,396060.0,none
87,Tb427.BES51.3,35739.0,38965.0,42049.0,129000.0,133610.0,121950.0,none
88,Tb427.BES56.1,170720.0,180000.0,183930.0,238390.0,236560.0,217940.0,none
89,Tb427.BES56.2,32691.0,36584.0,33806.0,31314.0,34094.0,34245.0,none
90,Tb427.BES98.1,141690.0,139370.0,145300.0,227550.0,221460.0,216550.0,none
91,Tb427.BES98.2,20694.0,21887.0,20776.0,18604.0,19306.0,20905.0,none
92,Tb927.1.1000,668830.0,732100.0,715980.0,652130.0,645630.0,636230.0,developmentally regulated phosphoprotein
93,Tb927.1.1020,238480.0,246470.0,265780.0,236620.0,251030.0,253380.0,leucine-rich repeat-containing protein
94,Tb927.1.1030,309030.0,336380.0,338240.0,349550.0,346500.0,343410.0,Nucleolar protein 49
95,Tb927.1.1050,211750.0,209830.0,228560.0,214910.0,230090.0,214660.0,Metallo-dependent phosphatase-like domain-containing protein
96,Tb927.1.1060,623910.0,621680.0,670140.0,597900.0,633720.0,584190.0,"Cell cycle checkpoint protein RAD1-like, putative"
97,Tb927.1.1080,44949.0,48962.0,48080.0,49978.0,50462.0,53841.0,"TFIIH basal transcription factor subunit, putative"
98,Tb927.1.1100,442280.0,464410.0,484200.0,408940.0,439000.0,413360.0,Basal body protein
99,Tb927.1.1120,351470.0,366780.0,376280.0,338540.0,345940.0,325250.0,"ribosomal RNA-processing protein 8, putative"
100,Tb927.1.1130,435180.0,471560.0,476450.0,433960.0,432110.0,434730.0,"glycerol-3-phosphate dehydrogenase (FAD-dependent), putative"
101,Tb927.1.1140,293080.0,311350.0,337130.0,323490.0,344850.0,338760.0,"Transmembrane protein 231, putative"
102,Tb927.1.1150,47029.0,46569.0,53152.0,43784.0,52947.0,48035.0,zeta tubulin
103,Tb927.1.1160,231460.0,239740.0,247480.0,213500.0,229560.0,211370.0,kinetoplast ribosomal PPR-repeat containing protein 3
104,Tb927.1.120,6401300.0,6667000.0,6933300.0,7496900.0,7589800.0,7328400.0,"retrotransposon hot spot protein 4 (RHS4), putative"
105,Tb927.1.1200,690970.0,721590.0,762030.0,648160.0,663320.0,638300.0,Mitochondrial ribosomal protein S15
106,Tb927.1.1210,110110.0,114230.0,125900.0,117140.0,123560.0,110900.0,"conserved protein, unknown function"
107,Tb927.1.1220,726240.0,785300.0,808720.0,739010.0,734510.0,722130.0,RWD domain-containing protein
108,Tb927.1.1240,2125600.0,2253600.0,2323600.0,2286100.0,2301500.0,2326100.0,"cytidine triphosphate synthase, putative"
109,Tb927.1.1270,1172100.0,1287500.0,1279100.0,1069200.0,1062700.0,1043900.0,"homocysteine S-methyltransferase, putative"
110,Tb927.1.1310,201040.0,212770.0,218990.0,207340.0,220090.0,214930.0,"transmembrane protein, conserved"
111,Tb927.1.1330,800380.0,806480.0,859600.0,760740.0,799620.0,760800.0,Mitochondrial Editosome-like Complex TUTase
112,Tb927.1.1340,310620.0,345860.0,328250.0,276530.0,253370.0,266030.0,"Quinonprotein alcohol dehydrogenase-like protein, putative"
113,Tb927.1.1370,1286000.0,1341300.0,1399200.0,775270.0,827770.0,803050.0,"rRNA biogenesis protein, putative"
114,Tb927.1.1380,1035400.0,1075200.0,1146700.0,1027800.0,1071400.0,1018100.0,"serine/threonine protein phosphatase 2A regulatory subunit, putative"
115,Tb927.1.1390,173100.0,190990.0,188740.0,173950.0,180790.0,169680.0,"hypothetical protein, conserved"
116,Tb927.1.1400,169680.0,181990.0,191210.0,168220.0,163700.0,161760.0,"Overproducer of inositol protein 10 homolog, putative"
117,Tb927.1.1420,675300.0,688840.0,711370.0,640700.0,686490.0,639710.0,"conserved protein, unknown function"
118,Tb927.1.1470,612630.0,653480.0,660640.0,643390.0,655310.0,651800.0,"conserved protein, unknown function"
119,Tb927.1.1530,215770.0,227090.0,240260.0,245880.0,246610.0,253440.0,"STE group serine/threonine-protein kinase, putative"
120,Tb927.1.1540,403280.0,427210.0,451090.0,436870.0,442200.0,439180.0,"Tubulin/FtsZ family, putative"
121,Tb927.1.1550,268870.0,302860.0,309220.0,282200.0,286080.0,283630.0,"tubulin-tyrosine ligase, putative"
122,Tb927.1.1560,2351500.0,2584700.0,2542400.0,2485500.0,2436800.0,2495700.0,"vesicular-fusion protein nsf, putative"
123,Tb927.1.1580,731830.0,781040.0,788520.0,770990.0,779780.0,743940.0,"electron transport protein SCO1/2, putative"
124,Tb927.1.1610,121870.0,133190.0,137800.0,148080.0,141920.0,147320.0,"hypothetical protein, conserved"
125,Tb927.1.1620,886100.0,930510.0,958730.0,896320.0,922180.0,906770.0,"ATP-dependent DEAD/H RNA helicase, putative"
126,Tb927.1.1630,113970.0,123560.0,119380.0,126550.0,123550.0,122230.0,transcription elongation factor 1 homolog
127,Tb927.1.1640,93439.0,98058.0,101580.0,92566.0,100010.0,97861.0,"hypothetical protein, conserved"
128,Tb927.1.1670,3093500.0,3156600.0,3389100.0,3130000.0,3260900.0,3073100.0,ARM-like helical domain-containing protein
129,Tb927.1.1680,256770.0,274070.0,293670.0,266320.0,280730.0,265390.0,Transcription elongation factor 1 domain-containing protein
130,Tb927.1.1690,510790.0,545230.0,562180.0,497200.0,505900.0,497810.0,RNA-editing nuclease 1
131,Tb927.1.1700,1371700.0,1527600.0,1516900.0,1495400.0,1436100.0,1442700.0,"AATF protein, putative"
132,Tb927.1.1710,1357100.0,1465200.0,1471200.0,1457700.0,1477000.0,1463900.0,"transmembrane protein, conserved"
133,Tb927.1.1720,573860.0,586810.0,607830.0,517560.0,548950.0,515550.0,"cyclophilin 15, putative"
134,Tb927.1.1730,621060.0,643950.0,677120.0,587850.0,605860.0,584760.0,"Polyadenylation mediator complex protein PAMC1, putative"
135,Tb927.1.1750,75117.0,78067.0,88520.0,79322.0,83029.0,81704.0,"conserved protein, unknown function"
136,Tb927.1.1770,373220.0,403570.0,396940.0,354900.0,354360.0,352410.0,Dithiol glutaredoxin 2
137,Tb927.1.1790,164800.0,172090.0,177210.0,179540.0,184520.0,186250.0,"hypothetical PIN domain-containing protein, conserved"
138,Tb927.1.180,4981600.0,5257600.0,5428600.0,5740400.0,5855100.0,5594500.0,"retrotransposon hot spot protein 1 (RHS1), putative"
139,Tb927.1.1840,227670.0,227210.0,240640.0,217530.0,226530.0,209720.0,"conserved protein, unknown function"
140,Tb927.1.1880,142950.0,149820.0,152900.0,127660.0,143260.0,142100.0,WD40 repeat-containing protein
141,Tb927.1.1890,251580.0,273220.0,279310.0,273750.0,288410.0,282480.0,Replication Factor C Subunit 1-related protein
142,Tb927.1.190,1767200.0,1849300.0,1968700.0,2086800.0,2114200.0,2000800.0,"retrotransposon hot spot protein (RHS, pseudogene), putative"
143,Tb927.1.1910,212500.0,226190.0,224530.0,223070.0,228860.0,228380.0,MORN repeat-containing protein
144,Tb927.1.1920,176680.0,180540.0,186750.0,160130.0,163280.0,153520.0,"conserved protein, unknown function"
145,Tb927.1.1930,2082200.0,2260400.0,2243200.0,2060900.0,2107300.0,2061800.0,"phosphatidylinositol 3-kinase, putative"
146,Tb927.1.1960,1489900.0,1530300.0,1630300.0,1470200.0,1521000.0,1442500.0,"chaperone protein DnaJ, putative"
147,Tb927.1.1980,81186.0,81142.0,90178.0,88276.0,87861.0,87494.0,"protein transport protein YIF1, putative"
148,Tb927.1.1990,156550.0,167420.0,165210.0,147760.0,152420.0,147600.0,"Pre-mRNA-splicing factor 38, putative"
149,Tb927.1.2100,5215600.0,5352500.0,5643600.0,5017100.0,5113100.0,4931500.0,Calpain-like protein 1.1
150,Tb927.1.2110,326110.0,334230.0,348670.0,322400.0,326840.0,323630.0,Calpain-like protein 1.2
151,Tb927.1.2120,1829100.0,1915600.0,2014300.0,1852700.0,1945000.0,1899900.0,Calpain-like protein CALP1.3
152,Tb927.1.2190,401980.0,422490.0,442350.0,414720.0,431450.0,410790.0,"Raptor N-terminal CASPase like domain containing protein, putative"
153,Tb927.1.220,175070.0,190850.0,200670.0,242100.0,240450.0,237070.0,"retrotransposon hot spot protein 1 (RHS1), putative"
154,Tb927.1.2210,848050.0,861390.0,902160.0,1082800.0,1101500.0,1041900.0,"nucleosome assembly protein (NAP), putative"
155,Tb927.1.2230,1182600.0,1273300.0,1309700.0,1054700.0,1109400.0,1068100.0,small myristoylated protein 1-1
156,Tb927.1.2260,2429800.0,2489900.0,2661200.0,2321400.0,2410000.0,2324300.0,small myristoylated protein 1-2
157,Tb927.1.2320,166410.0,180330.0,189070.0,316420.0,324890.0,307350.0,Cardiolipin-dependent protein 35kDa
158,Tb927.1.2390,32921000.0,35146000.0,36264000.0,32522000.0,33379000.0,33169000.0,beta tubulin
159,Tb927.1.240,417600.0,451370.0,451120.0,488520.0,473920.0,464640.0,"retrotransposon hot spot protein (RHS, pseudogene), putative"
160,Tb927.1.2400,29208000.0,30997000.0,31956000.0,28014000.0,28702000.0,28957000.0,alpha tubulin
161,Tb927.1.2550,1694700.0,1679300.0,1844500.0,1510100.0,1596100.0,1494500.0,"histone H3, putative"
162,Tb927.1.2570,2787400.0,2870800.0,2999300.0,2403500.0,2460200.0,2395100.0,coatomer beta subunit
163,Tb927.1.2580,425650.0,461440.0,472390.0,389400.0,415770.0,398930.0,exosome-associated protein 1
164,Tb927.1.2600,494460.0,521000.0,534090.0,452820.0,487600.0,468810.0,pumilio/PUF RNA binding protein 9
165,Tb927.1.2670,1555500.0,1655300.0,1684600.0,1443500.0,1456400.0,1406700.0,paralyzed flagella 16
166,Tb927.1.2730,603310.0,638710.0,663590.0,568690.0,576570.0,557530.0,"conserved protein, unknown function"
167,Tb927.1.2750,1288000.0,1316700.0,1389900.0,750020.0,782940.0,759400.0,"hypothetical protein, conserved"
168,Tb927.1.2770,130440.0,142570.0,141550.0,134100.0,135980.0,136680.0,"hypothetical protein, conserved"
169,Tb927.1.2970,184310.0,193650.0,198880.0,181370.0,190430.0,175040.0,"hypothetical protein, conserved"
170,Tb927.1.2980,146390.0,160810.0,159050.0,134130.0,148000.0,137560.0,"hypothetical protein, conserved"
171,Tb927.1.2990,1142300.0,1191000.0,1279700.0,1149100.0,1204300.0,1145600.0,kinetoplast ribosomal PPR-repeat containing protein 2
172,Tb927.1.3000,499450.0,532450.0,548540.0,592700.0,610600.0,590680.0,"amidohydrolase, putative"
173,Tb927.1.3010,740890.0,785580.0,809500.0,773450.0,804890.0,787820.0,"mRNA processing protein, putative"
174,Tb927.1.3030,540240.0,563320.0,574760.0,576820.0,584290.0,555910.0,KREL2
175,Tb927.1.3040,52698.0,59245.0,58931.0,52280.0,54050.0,49761.0,"hypothetical protein, conserved"
176,Tb927.1.3050,606380.0,673120.0,659770.0,599550.0,582950.0,599880.0,"tRNA (Uracil-5-)-methyltransferase, putative"
177,Tb927.1.3070,679330.0,702740.0,729890.0,615760.0,625520.0,594820.0,"hypothetical protein, conserved"
178,Tb927.1.3110,1404300.0,1427800.0,1513400.0,1451900.0,1480300.0,1411800.0,"soluble N-ethylmaleimide sensitive factor (NSF) attachment protein, putative"
179,Tb927.1.3150,314980.0,334530.0,332830.0,305460.0,309440.0,297890.0,"hypothetical protein, conserved"
180,Tb927.1.3170,893210.0,951510.0,996580.0,964290.0,978320.0,949530.0,"CHORD, putative"
181,Tb927.1.3180,1929900.0,1934200.0,2041200.0,1646800.0,1675300.0,1608300.0,"40S ribosomal protein S11, putative"
182,Tb927.1.320,66660.0,71937.0,79292.0,67780.0,69481.0,67130.0,"retrotransposon hot spot protein (RHS, pseudogene), putative"
183,Tb927.1.3200,1006000.0,1084900.0,1119300.0,1205800.0,1171300.0,1170400.0,"Suppressor of G2 allele of SKP1, putative"
184,Tb927.1.3220,331410.0,345580.0,367930.0,319310.0,334480.0,311090.0,"TBC1 domain family member 20/GTPase, putative"
185,Tb927.1.3230,230640.0,235910.0,253120.0,230530.0,246750.0,230750.0,"cell division cycle protein, putative"
186,Tb927.1.3250,535250.0,571690.0,598970.0,501140.0,516020.0,518410.0,"Domain of unknown function (DUF4456), putative"
187,Tb927.1.3260,824500.0,842640.0,908330.0,818820.0,863820.0,813450.0,"hypothetical protein, conserved"
188,Tb927.1.3270,967530.0,1002800.0,1043300.0,945230.0,960910.0,926500.0,"hypothetical protein, conserved"
189,Tb927.1.3280,104240.0,106840.0,114870.0,100310.0,103680.0,98246.0,"septum formation protein MAF homologue, putative"
190,Tb927.1.3290,364810.0,374920.0,390540.0,304140.0,320540.0,314120.0,"hypothetical protein, conserved"
191,Tb927.1.330,28318.0,28791.0,34402.0,33075.0,35541.0,32703.0,"retrotransposon hot spot protein (RHS, pseudogene), putative"
192,Tb927.1.3300,745810.0,849170.0,803750.0,750060.0,734690.0,752590.0,"Myotubularin-related protein, putative"
193,Tb927.1.3310,844950.0,828890.0,901210.0,760500.0,794560.0,756600.0,"hypothetical protein, conserved"
194,Tb927.1.3390,143550.0,149500.0,151200.0,156300.0,161740.0,157450.0,"Eukaryotic protein of unknown function (DUF866), putative"
195,Tb927.1.3400,213900.0,224070.0,236190.0,208030.0,219820.0,200570.0,"hypothetical protein, conserved"
196,Tb927.1.3410,832450.0,888370.0,897460.0,864450.0,874220.0,870170.0,"hypothetical protein, conserved"
197,Tb927.1.3450,759130.0,812190.0,858340.0,783610.0,795040.0,794620.0,"hypothetical protein, conserved"
198,Tb927.1.3560,118600.0,129000.0,132330.0,120570.0,120860.0,116370.0,"Centrosomal protein of 164 kDa, putative"
199,Tb927.1.3800,382070.0,410490.0,406470.0,428930.0,435950.0,427340.0,Present in the outer mitochondrial membrane proteome 18
200,Tb927.1.3820,142000.0,144520.0,157220.0,127070.0,131510.0,133340.0,"ATP synthase subunit, putative"
201,Tb927.1.3830,2183600.0,2461500.0,2356400.0,1768000.0,1742700.0,1809100.0,"glucose-6-phosphate isomerase, glycosomal"
202,Tb927.1.3880,137180.0,144230.0,146960.0,98289.0,103020.0,102840.0,"Fusaric acid resistance protein-like, putative"
203,Tb927.1.3910,475500.0,501870.0,496230.0,389900.0,411900.0,392420.0,Anaphase-promoting complex subunit CDC23
204,Tb927.1.3950,2541400.0,2640800.0,2759000.0,2459600.0,2525600.0,2422800.0,alanine aminotransferase
205,Tb927.1.4010,375480.0,405190.0,410370.0,363120.0,396590.0,381220.0,primase 2
206,Tb927.1.4040,42322.0,43857.0,49095.0,39851.0,43899.0,39719.0,"hypothetical protein, conserved"
207,Tb927.1.4050,1500300.0,1535100.0,1631700.0,1393300.0,1487100.0,1408800.0,"ser/thr protein phosphatase, putative"
208,Tb927.1.410,309650.0,320840.0,336660.0,315490.0,322870.0,315790.0,"retrotransposon hot spot protein (RHS, pseudogene), putative"
209,Tb927.1.4100,3506800.0,3787000.0,3702800.0,2417100.0,2413800.0,2466800.0,cytochrome oxidase subunit IV
210,Tb927.1.4160,50667.0,56398.0,59657.0,73655.0,81128.0,72756.0,"hypothetical protein, conserved"
211,Tb927.1.4180,740460.0,782120.0,818980.0,714300.0,719370.0,697120.0,"leucine-rich repeat protein (LRRP), putative"
212,Tb927.1.420,235360.0,235990.0,248750.0,221050.0,235770.0,227110.0,"retrotransposon hot spot protein 5 (RHS5), putative"
213,Tb927.1.4220,159650.0,178420.0,170550.0,167600.0,169310.0,160740.0,"Ydr279p protein family (RNase H2 complex component), putative"
214,Tb927.1.4230,608670.0,672160.0,679270.0,602080.0,605470.0,610540.0,"hypothetical protein, conserved"
215,Tb927.1.4250,104670.0,115710.0,109480.0,102150.0,113170.0,111770.0,"hypothetical protein, conserved"
216,Tb927.1.4280,350920.0,361840.0,385250.0,341410.0,356030.0,342350.0,"hypothetical protein, conserved"
217,Tb927.1.4310,3359000.0,3682900.0,3632600.0,3338800.0,3320600.0,3371900.0,Flagellum attachment zone protein 2
218,Tb927.1.4340,442230.0,468860.0,486950.0,428250.0,455090.0,435960.0,"hypothetical protein, conserved"
219,Tb927.1.4400,268260.0,277130.0,286340.0,268590.0,278660.0,263480.0,"hypothetical protein, conserved"
220,Tb927.1.4410,398280.0,402130.0,444730.0,411270.0,410990.0,399840.0,SUMO-interacting motif-containing protein
221,Tb927.1.4420,1641000.0,1732400.0,1827700.0,1662600.0,1695600.0,1636000.0,"ABC transporter, putative"
222,Tb927.1.4450,105430.0,108680.0,121190.0,99469.0,110530.0,104240.0,"calcium-activated potassium channel, putative"
223,Tb927.1.4470,46718.0,51628.0,49673.0,47389.0,51210.0,45605.0,"hypothetical protein, conserved"
224,Tb927.1.4480,772610.0,803130.0,833060.0,691130.0,697640.0,705880.0,"WD repeat and HMG-box DNA-binding protein, putative"
225,Tb927.1.4490,788940.0,924270.0,864510.0,778130.0,727420.0,773020.0,"acetyltransferase, putative"
226,Tb927.1.450,554190.0,581750.0,570380.0,469450.0,476330.0,472410.0,"retrotransposon hot spot protein (RHS, pseudogene), putative"
227,Tb927.1.4500,126050.0,134710.0,142000.0,127210.0,140830.0,129440.0,"SNARE associated Golgi protein, putative"
228,Tb927.1.4680,463820.0,477500.0,513270.0,486180.0,507170.0,488330.0,Kinetochore interacting protein 6
